entry_id;language_code;german_section;german_chapter;german_subsection;german_clinical_situation;german_recommendation
110;de;Biochemie;2.12 Schwangerschaftsbezogen;;Urin β-hCG (Schwangerschaft);Urin-Schwangerschaftstest kann drei Tage nach negativem Ergebnis oder etwa 28 Tage nach Periodenbeginn wiederholt werden
111;de;Biochemie;2.12 Schwangerschaftsbezogen;;Serum β-hCG (Schwangerschaft);Serum β-hCG-Test: nicht wiederholen falls positiv. Nach drei Tagen wiederholen falls negativ und keine Menstruation aufgetreten ist
112;de;Biochemie;2.12 Schwangerschaftsbezogen;;Serum β-hCG (Eileiterschwangerschaft);48-Stunden-Wiederholungsintervall
113;de;Biochemie;2.12 Schwangerschaftsbezogen;;Serum β-hCG (Tumormarker);Nach Ausräumung einer Blasenmole sollte die β-hCG-Konzentration jede Woche überwacht werden bis zur Normalisierung und dann jeden Monat während des ersten Jahresper-positiv sind sollten während der Schwangerschaft überwacht werden. Serum fT4 und TSH sollten alle vier Wochen bis zur 16–20. Schwangerschaftswoche und mindestens einmal zwischen 26 und 32 Wochen gemessen werden)
122;de;Biochemie;2.12 Schwangerschaftsbezogen;;Frauen mit Diabetes die schwanger werden möchten;Monatliche Messung von HbA1C
123;de;Biochemie;2.12 Schwangerschaftsbezogen;;Bewertung der glykämischen Kontrolle mittels HbA1c in der Schwangerschaft;HbA1C sollte nicht routinemäßig zur Bewertung der glykämischen Kontrolle im zweiten und dritten Trimester der Schwangerschaft verwendet werden jedoch HbA1C-Messung für Frauen mit vorbestehendem Diabetes erwägen um Schwangerschaftsrisiko zu bewerten
124;de;Biochemie;2.12 Schwangerschaftsbezogen;;Für das Management von Hyponatriämie unter der Geburt und in der unmittelbaren postpartalen Periode benötigen Frauen Natrium-Überwachung falls sie: • unter Oxytocin-Infusion stehen (einschließlich Geburtseinleitung und -verstärkung, Behandlung postpartaler Blutung) • unter der Geburt stehen und IV-Insulin und Dextrose benötigen • ein Blutnatrium unter 130 mmol/L aus irgendeinem Grund haben • eine positive Flüssigkeitsbilanz von mehr als 1.500 ml haben;Bezieht sich auf Natriummessung Frauen unter Insulin-Infusionen: MRI ist 4 Stunden Während der Geburt: Natrium >129 mmol/L MRI ist 8 Stunden Natrium 129–125 mmol/L MRI ist 4 Stunden Natrium <125 mmol/L MRI ist 2 Stunden Entbindung oder Abschluss der Oxytocin-Infusion: Natrium >129 mmol/L Nachtestung nicht erforderlich Natrium 129–125 mmol/L UND asymptomatisch MRI ist 4 Stunden Natrium <125 mmol/L ODER symptomatisch <130 mmol/L MRI ist 2 Stunden
125;de;Biochemie;2.12 Schwangerschaftsbezogen;;Frauen mit Typ-1-Diabetes haben ein dreifach erhöhtes Risiko für postpartale Schilddrüsendysfunktion;Serum TSH, fT4 und Schilddrüsenperoxidase-Antikörper-Status sollten präkonzeptionell, bei Anmeldung während Schwangerschaft und drei Monate postpartal bestimmt werden
126;de;Biochemie;2.13 Pädiatrisch-bezogen;;HbA1C-Überwachung bei Kindern und Jugendlichen mit Typ-1-Diabetes;Zwei Monate
127;de;Biochemie;2.13 Pädiatrisch-bezogen;;Zöliakie-Serologie bei bekannten pädiatrischen Patienten in der Nachsorge;Testung alle sechs Monate bei Kindern
129;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Normale Nachsorge;Eine Wiederholung wäre aus klinischen Gründen indiziert falls sich der Zustand des Patienten signifikant verändert hat
130;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Überwachung eines stabilen stationären Patienten;Ein stationärer Patient mit normalem Aufnahme-FBC sollte keine Wiederholung innerhalb der durchschnittlichen Aufenthaltsdauer von vier Tagen erhalten
131;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Überwachung eines instabilen stationären Patienten der nicht aktiv blutet oder eines Patienten unter zytotoxischen Medikamenten;Normalerweise nicht häufiger als einmal täglich erforderlich
132;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Patienten mit schwerer Blutung;Wiederholungsintervall sollte durch die klinische Situation bestimmt werden. Sollte mindestens stündlich bei massiver Blutung wiederholt werden
133;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Schwangere unter hämatinischen Supplementen (Eisen, Folat, B12);Wiederholung nach mindestens 14 Tagen
134;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Routine Schwangerschaftsüberwachung;Bei Anmeldung, 28 Wochen und postpartal
135;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Hypertensive Schwangerschaftserkrankungen* *FBC in Kombination mit Nieren- und Leberfunktion;Nur einmal bei moderater pränataler Gestationshypertonie (<160/110) ohne Proteinurie. Wöchentlich bei schwerer Gestationshypertonie. Zweimal wöchentlich bei milder pränataler Hypertonie mit Präeklampsie, dreimal wöchentlich bei moderat bis schwer. Nach klinischer Indikation in peripartaler Periode (kann mehrere Wiederholungen über 24 Stunden erfordern) und dann 48 Stunden nach Entbindung/Herabstufung von Intensivversorgung wiederholen und Überwachung bei normalen Werten beenden
136;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Stationäre Patienten mit vermuteten Thrombozyten-Alloantikörpern oder unter HLA-angepassten Thrombozyten;Wiederholung eine Stunde nach Abschluss der Thrombozytentransfusion
137;de;Hämatologie;3.1 Hämatologie allgemein;FBC;Patienten mit Anämie bei chronischer Nierenerkrankung;Alle zwei bis vier Wochen in der Induktionsphase der ESA-Therapie und alle ein bis drei Monate in der Erhaltungsphase der ESA-Therapie
139;de;Hämatologie;3.1 Hämatologie allgemein;ESR;Temporale Arteritis/Polymyalgia rheumatica;Alle drei Monate nach dem ersten Behandlungsmonat
140;de;Hämatologie;3.1 Hämatologie allgemein;ESR;Rheumatoide Arthritis;Jeden Monat bis die Behandlung die Krankheit kontrolliert hat (NICE CG79 empfiehlt Verwendung von CRP)
141;de;Hämatologie;3.2 Hämatologie Gerinnung;;Patienten mit schwerer Blutung;Wiederholungsintervall sollte durch die klinische Situation bestimmt werden und das Gerinnungsscreening muss Fibrinogen einschließen. Sollte mindestens stündlich bei massiver Blutung wiederholt werden
142;de;Hämatologie;3.2 Hämatologie Gerinnung;;Patienten mit akuter Koagulopathie;Normalerweise nicht häufiger als einmal täglich falls keine Gerinnungsfaktoren erhalten werden und keine aktive Blutung vorliegt
144;de;Hämatologie;3.2 Hämatologie Gerinnung;PT;Patienten mit chronischer Lebererkrankung;Alle drei Monate falls ansonsten stabil146
147;de;Hämatologie;3.2 Hämatologie Gerinnung;INR;Instabiler stationärer Patient unter VKA;Nicht häufiger als einmal täglich
148;de;Hämatologie;3.2 Hämatologie Gerinnung;INR;Stabiler ambulanter Patient unter VKA;Normalerweise nicht häufiger als einmal wöchentlich und bis zu 12 Wochen bei sehr stabiler Situation
149;de;Hämatologie;3.2 Hämatologie Gerinnung;INR;Patient der dringende VKA-Umkehr benötigt (oder zur Behandlung erworbener Vitamin-K-abhängiger Gerinnungsfaktorenmangel) mit Vitamin K;Wiederholung nur nach mindestens sechs Stunden nach IV-Dosis und am folgenden Tag nach oraler Dosis
150;de;Hämatologie;3.2 Hämatologie Gerinnung;INR;Patient der dringende VKA-Umkehr mit einem Vier-Faktor-PCC benötigt;Wiederholung innerhalb einer Stunde nach Verabreichung
152;de;Hämatologie;3.2 Hämatologie Gerinnung;APTT;Patient unter intravenöser Infusion von unfraktioniertem Heparin;Wiederholung 6 Stunden nach Dosisanpassung (2 Stunden falls vorherige APTT-Ratio >5.0) und täglich wenn APTT im Zielbereich
153;de;Hämatologie;3.2 Hämatologie Gerinnung;APTT;Patienten unter intravenöser Infusion eines parenteralen direkten Thrombininhibitors (Bivalirudin, Argatroban);Wiederholung zwei Stunden nach jeder Dosisanpassung dann täglich wenn im Zielbereich
155;de;Hämatologie;3.2 Hämatologie Gerinnung;Clauss-Fibrinogen-Assay;Patienten mit akuter Koagulopathie;Normalerweise nicht häufiger als täglich falls keine Gerinnungsfaktoren erhalten werden und keine aktive Blutung vorliegt
156;de;Hämatologie;3.2 Hämatologie Gerinnung;Clauss-Fibrinogen-Assay;Patienten mit schwerer Blutung;Wiederholungsintervall sollte durch die klinische Situation bestimmt werden. Sollte mindestens stündlich bei massiver Blutung wiederholt werden
158;de;Hämatologie;3.2 Hämatologie Gerinnung;Anti-Xa-Assay;Patient unter therapeutischer LMWH-Dosis mit signifikanter Nierenbeeinträchtigung, extremem Gewicht, Schwangerschaft oder anderer Messindikation;Mindestens drei Tage nach Beginn oder Dosisanpassung, dann nicht häufiger als einmal wöchentlich falls die Dosis unverändert ist
160;de;Hämatologie;3.2 Hämatologie Gerinnung;LA-Screening;Untersuchung bei vermutetem Antiphospholipid-Syndrom;Wiederholung nach 12 Wochen falls abnormal
161;de;Hämatologie;3.2 Hämatologie Gerinnung;LA-Screening;Untersuchung auf Antiphospholipid-Syndrom nach Abschluss der Antikoagulation;Mindestens sieben Tage nach Beendigung der Antikoagulation
163;de;Hämatologie;3.2 Hämatologie Gerinnung;CFA;Ein Patient unter Untersuchung wegen vermuteten Gerinnungsfaktorenmangels;Ein abnormales Ergebnis kann zur Bestätigung in einem klinisch angemessenen Intervall wiederholt werden
164;de;Hämatologie;3.2 Hämatologie Gerinnung;CFA;Ein Patient unter Gerinnungsfaktor-Ersatztherapie;Ein Assay unmittelbar vor und bis zu 60 Minuten nach Verabreichung und dann nach klinischer Indikation, normalerweise nicht häufiger als einmal täglich (entweder Talspiegel, Spitzenspiegel oder beide)
166;de;Hämatologie;3.2 Hämatologie Gerinnung;Gerinnungsfaktor-Inhibitor-Testung;Überwachung bei Patienten mit schwerer Hämophilie A oder B;Nach jeder dritten Faktor-ED oder alle drei Monate (je nachdem was früher ist) bis 20 ED, dann alle drei bis sechs Monate bis 150 ED (dann ein- bis zweimal pro Jahr nur bei schwerer Hämophilie A)
167;de;Hämatologie;3.2 Hämatologie Gerinnung;Gerinnungsfaktor-Inhibitor-Testung;Überwachung nach Wechsel des Faktorkonzentrats bei schwerer Hämophilie A;Vor dem Wechsel und dann zweimal in den ersten sechs Monaten nach dem Wechsel
168;de;Hämatologie;3.2 Hämatologie Gerinnung;Gerinnungsfaktor-Inhibitor-Testung;Überwachung bei Patienten mit moderater oder milder Hämophilie A;Jährlich falls Faktorkonzentrat exponiert oder nach intensiver Exposition (>5 ED) oder Operation
169;de;Hämatologie;3.2 Hämatologie Gerinnung;Gerinnungsfaktor-Inhibitor-Testung;Überwachung der ITT während Behandlung;Monatlich
170;de;Hämatologie;3.2 Hämatologie Gerinnung;Gerinnungsfaktor-Inhibitor-Testung;Nach Abschluss erfolgreicher ITT;Monatlich für sechs Monate dann alle zwei Monate für bis zu ein Jahr
171;de;Hämatologie;3.2 Hämatologie Gerinnung;Gerinnungsfaktor-Inhibitor-Testung;Überwachung von Patienten mit neu diagnostiziertem erworbenem Gerinnungsfaktor-Inhibitor;Monatlich bis sechs Monate nach Remission
173;de;Hämatologie;3.3 Hämatologie Transfusion (allgemein und Screening-Gruppe in PBLC);Blutgruppe und Antikörper-Screening;Ein Erstpatient vor Transfusion;Eine zweite Probe sollte vor Transfusion angefordert werden183
184;de;Immunologie;4 Immunologie-Empfehlungen;;Acetylcholin-Rezeptor-Antikörper;Häufigkeit durch klinischen Kontext bestimmt. Alle sechs Monate während der Behandlung
185;de;Immunologie;4 Immunologie-Empfehlungen;;Nebennierenrinden-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
186;de;Immunologie;4 Immunologie-Empfehlungen;;aPL-Antikörper;Sobald Diagnose mit BCSH-Leitlinien bestätigt ist, ist wiederholte Testung von begrenztem Wert
187;de;Immunologie;4 Immunologie-Empfehlungen;;Alpha-1-Antitrypsin-Genotyp;Nicht routinemäßig erforderlich
188;de;Immunologie;4 Immunologie-Empfehlungen;;AMPA-Rezeptor-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
189;de;Immunologie;4 Immunologie-Empfehlungen;;Anti-nukleärer Antikörper (HEP2);Sobald Diagnose etabliert ist, ist wiederholte Testung von begrenztem Wert
190;de;Immunologie;4 Immunologie-Empfehlungen;;Aquaporin-4-Antikörper (NMO) CSF;Wiederholte Testung geleitet durch klinischen Kontext und Diskussion mit spezialisiertem Labordienst der den Assay anbietet
191;de;Immunologie;4 Immunologie-Empfehlungen;;Aquaporin-4-Antikörper (NMO) Serum;Wiederholte Testung geleitet durch klinischen Kontext und Diskussion mit spezialisiertem Labordienst der den Assay anbietet
192;de;Immunologie;4 Immunologie-Empfehlungen;;Basalganglien-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
193;de;Immunologie;4 Immunologie-Empfehlungen;;Beta-2-Mikroglobulin;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
194;de;Immunologie;4 Immunologie-Empfehlungen;;Beta-2-Glykoprotein-I-Antikörper;Sobald Diagnose mit BCSH-Leitlinien bestätigt ist, ist wiederholte Testung von begrenztem Wert
195;de;Immunologie;4 Immunologie-Empfehlungen;;C3/4;90 Tage (frühere Testfrequenz möglicherweise in Ausnahmefällen erforderlich)
196;de;Immunologie;4 Immunologie-Empfehlungen;;C3-nephritischer Faktor;Nicht routinemäßig erforderlich falls positiv. Nur erlaubt falls C3 unter Referenzbereich
197;de;Immunologie;4 Immunologie-Empfehlungen;;Herzmuskel-Antikörper;Nicht routinemäßig erforderlich
198;de;Immunologie;4 Immunologie-Empfehlungen;;Cardiolipin-Antikörper;Sobald Diagnose mit BCSH-Leitlinien bestätigt ist, ist wiederholte Testung von begrenztem Wert
199;de;Immunologie;4 Immunologie-Empfehlungen;;CCP;Wiederholte Testung nach Diagnosebestätigung ist von begrenztem Wert
200;de;Immunologie;4 Immunologie-Empfehlungen;;CD62-Ligand-Shedding;Mit Labor besprechen
201;de;Immunologie;4 Immunologie-Empfehlungen;;Komplement C1q;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
202;de;Immunologie;4 Immunologie-Empfehlungen;;Komplement-1-Inhibitor immunochemisch;"Nur einmal zur Bestätigung; wiederholte Testung begrenzt auf Ausnahmefälle Allgemein nur durchgeführt falls C4 niedrig ist oder mit kompatiblen klinischen Informationen"
203;de;Immunologie;4 Immunologie-Empfehlungen;;Komplement AP100;Nur einmal zur Bestätigung Nur mit kompatiblen klinischen Informationen erlaubt
204;de;Immunologie;4 Immunologie-Empfehlungen;;Komplement C2;Nur einmal zur Bestätigung Nur mit kompatiblen klinischen Informationen erlaubt
205;de;Immunologie;4 Immunologie-Empfehlungen;;Komplement CH100;Nur einmal zur Bestätigung Nur mit kompatiblen klinischen Informationen erlaubt
206;de;Immunologie;4 Immunologie-Empfehlungen;;Komplement-Faktor B;Nur einmal zur Bestätigung Nur mit kompatiblen klinischen Informationen erlaubt
207;de;Immunologie;4 Immunologie-Empfehlungen;;Komplement-Faktor H;Nur mit kompatiblen klinischen Informationen erlaubt
208;de;Immunologie;4 Immunologie-Empfehlungen;;CSF oligoklonal;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
209;de;Immunologie;4 Immunologie-Empfehlungen;;Kryoglobulin-Screening;Nach anfänglicher Bestätigung von Kryoglobulin, was möglicherweise mehr als einmaliges Testen erfordert, wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
210;de;Immunologie;4 Immunologie-Empfehlungen;;Kryoglobulin-Typ;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
211;de;Immunologie;4 Immunologie-Empfehlungen;;dsDNA-Ab ELISA;Alle drei bis sechs Monate während der Behandlung
212;de;Immunologie;4 Immunologie-Empfehlungen;;Endomysium-Antikörper (IgA);Nicht routinemäßig erforderlich Nur zur Bestätigung von tTG-Positiven
213;de;Immunologie;4 Immunologie-Empfehlungen;;Endomysium-Antikörper (IgG);Nur für Patienten mit komplettem IgA-Mangel und Bestätigung von positivem tTG IgG Angeben dass dieser Test nicht unternommen werden sollte und auf relevante NICE-Leitlinien verweisen
214;de;Immunologie;4 Immunologie-Empfehlungen;;ENA RNP, Sm, Ro, La, Scl, Jo1 und Zentromer;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
215;de;Immunologie;4 Immunologie-Empfehlungen;;GABA-Rezeptor-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen216
217;de;Immunologie;4 Immunologie-Empfehlungen;;Gangliosid-GD1b-Antikörper;Nicht routinemäßig erforderlich
218;de;Immunologie;4 Immunologie-Empfehlungen;;Gangliosid-GM1-Antikörper;Nicht routinemäßig erforderlich
219;de;Immunologie;4 Immunologie-Empfehlungen;;Gangliosid-GQ1b-Antikörper;Nicht routinemäßig erforderlich
220;de;Immunologie;4 Immunologie-Empfehlungen;;GBM-Antikörper;Alle drei bis sechs Monate während der Behandlung oder häufiger bei Plasmapherese-Therapie
221;de;Immunologie;4 Immunologie-Empfehlungen;;Glycin-Rezeptor-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
222;de;Immunologie;4 Immunologie-Empfehlungen;;Hib-Antikörper;Wiederholte Testung zur Bewertung der Antwort auf Testimmunisierung. Serielle Überwachung von begrenztem Wert
223;de;Immunologie;4 Immunologie-Empfehlungen;;Histon-Antikörper;Nicht routinemäßig erforderlich
224;de;Immunologie;4 Immunologie-Empfehlungen;;IA2-Antikörper;Nicht routinemäßig erforderlich
225;de;Immunologie;4 Immunologie-Empfehlungen;;IgA niedriger Spiegel;Nicht routinemäßig erforderlich
226;de;Immunologie;4 Immunologie-Empfehlungen;;IgE;Nicht routinemäßig erforderlich
227;de;Immunologie;4 Immunologie-Empfehlungen;;IgG niedriger Spiegel;Nicht routinemäßig erforderlich
228;de;Immunologie;4 Immunologie-Empfehlungen;;IgG-Subklassen (1, 2, 3, 4);Nicht routinemäßig erforderlich
229;de;Immunologie;4 Immunologie-Empfehlungen;;IgG4;Wiederholte Testung von begrenztem Wert, obwohl es für Überwachung bei bestimmten Patienten nützlich sein kann
230;de;Immunologie;4 Immunologie-Empfehlungen;;Insulin-Antikörper;Nicht routinemäßig erforderlich
231;de;Immunologie;4 Immunologie-Empfehlungen;;Intrinsic-Factor-Antikörper;Nicht routinemäßig erforderlich
232;de;Immunologie;4 Immunologie-Empfehlungen;;Inselzell-Antikörper;Nicht routinemäßig erforderlich
233;de;Immunologie;4 Immunologie-Empfehlungen;;Leber-Antikörper-Line-Blot, einschließlich M2-PDH;Nicht routinemäßig erforderlich
234;de;Immunologie;4 Immunologie-Empfehlungen;;Leber-Autoantikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
235;de;Immunologie;4 Immunologie-Empfehlungen;;Lymphozyten-Phänotyp CD3, 4, 8, 19, 56;Mit Labor besprechen
236;de;Immunologie;4 Immunologie-Empfehlungen;;Leukozyten-Adhäsionsmoleküle;Mit Labor besprechen
237;de;Immunologie;4 Immunologie-Empfehlungen;;Lymphozyten-Phänotypisierung erweiterte Panel;Mit Labor besprechen
238;de;Immunologie;4 Immunologie-Empfehlungen;;Mastzell-Tryptase;Drei Proben über einen 24-Stunden-Zeitraum zur Bewertung von Anaphylaxie (Resuscitation Council UK-Leitlinien empfehlen dass Proben so nah wie möglich zu Zeitpunkt 0 genommen werden sollen, und 2 Stunden nach Beginn mit einer Baseline-Probe größer als 24 Stunden.) Wiederholte Testung kann bei Mastozytose erforderlich sein. Häufigkeit durch klinischen Kontext zu bestimmen
239;de;Immunologie;4 Immunologie-Empfehlungen;;MPO ANCA;Unter Behandlung: sechs Monate oder häufiger bei Plasmapherese-Therapie Ohne Behandlung: jährlich
240;de;Immunologie;4 Immunologie-Empfehlungen;;Muskelspezifische Kinase-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
241;de;Immunologie;4 Immunologie-Empfehlungen;;MAG-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
242;de;Immunologie;4 Immunologie-Empfehlungen;;MOG-Antikörper;Nicht routinemäßig erforderlich
243;de;Immunologie;4 Immunologie-Empfehlungen;;Myositis-Antikörper-Profil;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
244;de;Immunologie;4 Immunologie-Empfehlungen;;Neutrophile zytoplasmatische Antikörper;Unter Behandlung: sechs Monate oder häufiger bei Plasmapherese-Therapie Ohne Behandlung: jährlich
245;de;Immunologie;4 Immunologie-Empfehlungen;;Neutrophile oxidativer Burst;Mit Labor besprechen
246;de;Immunologie;4 Immunologie-Empfehlungen;;NMDA-Rezeptor-Antikörper CSF;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
247;de;Immunologie;4 Immunologie-Empfehlungen;;NMDA-Rezeptor-Antikörper Serum;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
248;de;Immunologie;4 Immunologie-Empfehlungen;;Ovarial-Antikörper;Nicht routinemäßig erforderlich
249;de;Immunologie;4 Immunologie-Empfehlungen;;Paraneoplastisches Antikörper-Profil;Nicht routinemäßig erforderlich
250;de;Immunologie;4 Immunologie-Empfehlungen;;Paraprotein (monoklonale Bande) Quantifizierung;Drei Monate4 Immunologie-Empfehlungen
270;de;Immunologie;4 Immunologie-Empfehlungen;;Tetanus-Antikörper;Wiederholte Testung zur Bewertung der Antwort auf Testimmunisierung. Serielle Überwachung von begrenztem Wert
271;de;Immunologie;4 Immunologie-Empfehlungen;;tIgE;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
272;de;Immunologie;4 Immunologie-Empfehlungen;;Schilddrüsenperoxidase-Antikörper;Nicht routinemäßig erforderlich
273;de;Immunologie;4 Immunologie-Empfehlungen;;T-Lymphozyten-Subset CD3, 4, 8;Mit Labor besprechen
274;de;Immunologie;4 Immunologie-Empfehlungen;;tTg IgA-Antikörper;IgA tTG kann zur Überwachung der Antwort auf eine glutenfreie Diät verwendet werden Nachtestung nach sechs bis zwölf Monaten abhängig vom Vorbehandlungswert
275;de;Immunologie;4 Immunologie-Empfehlungen;;tTg IgG-Antikörper;Nachtestung nach sechs bis zwölf Monaten Nur bei IgA-defizienten Patienten
276;de;Immunologie;4 Immunologie-Empfehlungen;;Urin-Elektrophorese;Nicht routinemäßig erforderlich
277;de;Immunologie;4 Immunologie-Empfehlungen;;Urin-freie Leichtketten-Quantifizierung;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
278;de;Immunologie;4 Immunologie-Empfehlungen;;VGCC-Antikörper;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
279;de;Immunologie;4 Immunologie-Empfehlungen;;VGKC-Antikörper CSF;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
280;de;Immunologie;4 Immunologie-Empfehlungen;;VGKC-Antikörper Serum;Wiederholte Testung von begrenztem Wert. Häufigkeit durch klinischen Kontext zu bestimmen
281;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;AFB-Mikroskopie und Kultur;Nicht zutreffend
282;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Antrum-Spülungen;Sieben Tage
283;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;ASO-Titer;14 Tage
284;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Aspirate und Flüssigkeiten aus sterilen Stellen;Nicht zutreffend
285;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Blutkultur;Nicht zutreffend
286;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Borrelia burgdorferi (Lyme);14 Tage
287;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;CSF;Nicht zutreffend
288;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Chlamydien NAAT;Nicht zutreffend
289;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;GC NAAT;14 Tage
290;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;CFT;14 Tage
291;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Husten-Abstrich;Sieben Tage
292;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;CSF für molekulare Untersuchung, z.B. Meningokokken;Nicht zutreffend
293;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;CSF-Mikroskopie und Kultur;Nicht zutreffend
294;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Medikamentenüberwachung: Glykopeptide (Vancomycin, Teicoplanin, etc.);24 Stunden
295;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Medikamentenüberwachung: Aminoglykosid (Gentamicin, Amikacin, etc.) Hinweis: dies gilt nur für einmal tägliche Dosierung. Falls Patient mehrere Dosen pro Tag erhält bitte lokale Leitlinien konsultieren;24 Stunden
296;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Ohren-Abstrich;Sieben Tage
297;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Ohren-/Nasen- und Rachen-Abstrich;Sieben Tage
298;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Endozervikaler Abstrich;Nicht zutreffend
299;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Augen-Abstrich am selben Auge;Sieben Tage
300;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Fäzes – Clostridium difficile;Wiederholte Testung nach einer ersten positiven Probe während derselben Durchfall-Episode wird in endemischer Situation nicht empfohlen Wiederholte Testung nach einer ersten negativen Probe während derselben Durchfall-Episode kann in ausgewählten Fällen mit anhaltendem klinischem Verdacht während epidemischer Situation oder in Fällen mit hohem klinischem Verdacht während endemischer Situationen nützlich sein Abhängig vom Ergebnis: Bestätigt positiv: 28 Tage Zweifelhaft*: 24 Stunden Negativ: 24 Stunden Ein Heilungstest wird nicht empfohlen *GDH positiv/Toxin negativ
301;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Fäzes – Eier, Zysten und Parasiten;24 Stunden
302;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Fäzes – Routine;Sieben Tage
303;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Genital-Abstrich (nur GC);14 Tage falls Symptome nach Behandlung bestehen (siehe auch M-9)
304;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Genital-Abstrich Mikroskopie und Kultur;Nicht zutreffend
305;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Helicobacter pylori – negative Serologie;28 Tage306
307;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Hoher Vaginal-Abstrich;Nicht zutreffend
308;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;IUCD;Nicht zutreffend
309;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;IUCD für Actinomyces;Nicht zutreffend
310;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Gelenkflüssigkeiten, Mikroskopie und Kultur;Nicht zutreffend
311;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Mund-Abstrich;Sieben Tage
312;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;MRSA-Screening;Sieben Tage
313;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;MRSA nach Eradikationstherapie;48 Stunden
